"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;GALAPAGOS;55";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;GUAYAS;2546";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;IMBABURA;477";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;LOJA;2887";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;LOS RIOS;243";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;MANABI;1484";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;MORONA SANTIAGO;44";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;ORELLANA;125";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;PASTAZA;232";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;PICHINCHA;7041";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;SANTA ELENA;97";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;SANTO DOMINGO;192";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;TUNGURAHUA;59";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;AZUAY;4127";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;BOLIVAR;112";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;CAÑAR;102";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;CARCHI;89";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;CHIMBORAZO;974";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;COTOPAXI;163";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;EL ORO;1128";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;ESMERALDAS;187";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;GUAYAS;11171";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;IMBABURA;441";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;LOJA;6802";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;LOS RIOS;1046";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;MANABI;3449";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;MORONA SANTIAGO;62";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;NAPO;50";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;PICHINCHA;14590";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;SANTA ELENA;614";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;SANTO DOMINGO;260";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;TUNGURAHUA;2180";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;ZAMORA CHINCHIPE;65";
"EDUCACIÓN;1/1/2012;AZUAY;3233";
"EDUCACIÓN;1/1/2012;BOLIVAR;2814";
"EDUCACIÓN;1/1/2012;CAÑAR;381";
"EDUCACIÓN;1/1/2012;CHIMBORAZO;2811";
"EDUCACIÓN;1/1/2012;COTOPAXI;1745";
"EDUCACIÓN;1/1/2012;EL ORO;2985";
"EDUCACIÓN;1/1/2012;ESMERALDAS;3541";
"EDUCACIÓN;1/1/2012;GALAPAGOS;68";
"EDUCACIÓN;1/1/2012;GUAYAS;20592";
"EDUCACIÓN;1/1/2012;IMBABURA;1427";
"EDUCACIÓN;1/1/2012;LOJA;9805";
"EDUCACIÓN;1/1/2012;LOS RIOS;5472";
"EDUCACIÓN;1/1/2012;MANABI;8466";
"EDUCACIÓN;1/1/2012;MORONA SANTIAGO;113";
"EDUCACIÓN;1/1/2012;NAPO;20";
"EDUCACIÓN;1/1/2012;ORELLANA;20";
"EDUCACIÓN;1/1/2012;PASTAZA;53";
"EDUCACIÓN;1/1/2012;PICHINCHA;11776";
"EDUCACIÓN;1/1/2012;SANTA ELENA;1905";
"EDUCACIÓN;1/1/2012;SANTO DOMINGO;1823";
"EDUCACIÓN;1/1/2012;SUCUMBIOS;26";
"EDUCACIÓN;1/1/2012;TUNGURAHUA;8714";
"EDUCACIÓN;1/1/2012;ZAMORA CHINCHIPE;85";" INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;AZUAY;6938"
"INGENIERÍA INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;BOLIVAR;64";
"INGENIERÍA INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;CAÑAR;269";
"INGENIERÍA INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;CHIMBORAZO;4761";
"INGENIERÍA INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;COTOPAXI;2392";
"INGENIERÍA INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;EL ORO;768";
"INGENIERÍA INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;ESMERALDAS;733";
"INGENIERÍA INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;GUAYAS;12908";
"INGENIERÍA INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;IMBABURA;1418";
"INGENIERÍA INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;LOJA;1976";
"INGENIERÍA INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;LOS RIOS;660";
"INGENIERÍA INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;MANABI;5373";
"INGENIERÍA INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;MORONA SANTIAGO;79";
"INGENIERÍA INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;NAPO;1";
"INGENIERÍA INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;PASTAZA;51";
"INGENIERÍA INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;PICHINCHA;21323";
"INGENIERÍA INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;SANTA ELENA;526";
"INGENIERÍA INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;SANTO DOMINGO;579";
"INGENIERÍA INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;TUNGURAHUA;2984";
"INGENIRÍA INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;ZAMORA CHINCHIPE;2";
"SALUD Y BIENESTAR;1/1/2012;AZUAY;8967";
"SALUD Y BIENESTAR;1/1/2012;BOLIVAR;437";
"SALUD Y BIENESTAR;1/1/2012;CAÑAR;1027";
"SALUD Y BIENESTAR;1/1/2012;CARCHI;289";
"SALUD Y BIENESTAR;1/1/2012;CHIMBORAZO;4423";
"SALUD Y BIENESTAR;1/1/2012;EL ORO;1393";
"SALUD Y BIENESTAR;1/1/2012;ESMERALDAS;1228";
"SALUD Y BIENESTAR;1/1/2012;GUAYAS;16030";
"SALUD Y BIENESTAR;1/1/2012;IMBABURA;940";
"SALUD Y BIENESTAR;1/1/2012;LOJA;3126";
"SALUD Y BIENESTAR;1/1/2012;LOS RIOS;1285";
"SALUD Y BIENESTAR;1/1/2012;MANABI;10014";
"SALUD Y BIENESTAR;1/1/2012;NAPO;4";
"SALUD Y BIENESTAR;1/1/2012;PICHINCHA;16196";
"SALUD Y BIENESTAR;1/1/2012;SANTA ELENA;131";
"SALUD Y BIENESTAR;1/1/2012;SANTO DOMINGO;296";
"SALUD Y BIENESTAR;1/1/2012;TUNGURAHUA;3850";
"SALUD Y BIENESTAR;1/1/2012;ZAMORA CHINCHIPE;4";
"SERVICIOS;1/1/2012;AZUAY;819";
"SERVICIOS;1/1/2012;BOLIVAR;95";
"SERVICIOS;1/1/2012;CARCHI;51";
"SERVICIOS;1/1/2012;CHIMBORAZO;619";
"SERVICIOS;1/1/2012;COTOPAXI;194";
"SERVICIOS;1/1/2012;ESMERALDAS;280";
"SERVICIOS;1/1/2012;GALAPAGOS;78";
"SERVICIOS;1/1/2012;GUAYAS;2844";
"SERVICIOS;1/1/2012;IMBABURA;889";
"SERVICIOS;1/1/2012;LOJA;1664";
"SERVICIOS;1/1/2012;LOS RIOS;385";
"SERVICIOS;1/1/2012;MANABI;1330";
"SERVICIOS;1/1/2012;MORONA SANTIAGO;17";
"SERVICIOS;1/1/2012;ORELLANA;71";
"SERVICIOS;1/1/2012;PASTAZA;113";
"SERVICIOS;1/1/2012;PICHINCHA;3084";
"SERVICIOS;1/1/2012;SANTA ELENA;473";
"SERVICIOS;1/1/2012;SANTO DOMINGO;303";
"SERVICIOS;1/1/2012;TUNGURAHUA;631";
"TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;1/1/2012;AZUAY;1201";
"TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;1/1/2012;BOLIVAR;145";
"TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;1/1/2012;CAÑAR;184";
"TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;1/1/2012;CARCHI;79";
"TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;1/1/2012;CHIMBORAZO;851";
"TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;1/1/2012;COTOPAXI;1059";
"TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;1/1/2012;EL ORO;417";
"TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;1/1/2012;ESMERALDAS;1077";
"TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;1/1/2012;GUAYAS;9129";
"TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;1/1/2012;IMBABURA;901";
"TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;1/1/2012;LOJA;2057";
"TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;1/1/2012;LOS RIOS;1137";
"TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;1/1/2012;MANABI;3335";
"TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;1/1/2012;MORONA SANTIAGO;60";
"TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;1/1/2012;PASTAZA;94";
"TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;1/1/2012;PICHINCHA;4963";
"TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;1/1/2012;SANTA ELENA;169";
"TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;1/1/2012;SANTO DOMINGO;513";
"TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;1/1/2012;TUNGURAHUA;780";
